feature,group,type,intervenable,null_pct,n_unique,IV,IV_band,IV_val,PSI,uni_AUC,note
invoice_payment_delinquency_rate,platform_engagement,numeric,True,0.0,51722,0.8573,suspicious,0.7109,0.014,0.7506,monotone
ENG:leverage_x_delinq,engineered,numeric,-,0.0,51722,0.8286,suspicious,0.7502,0.03,0.7476,
ENG:util_sq,engineered,numeric,-,0.0,51722,0.7368,suspicious,0.6326,0.005,0.7353,
aggregate_credit_utilization,bureau_credit,numeric,True,0.0,51722,0.7368,suspicious,0.6326,0.005,0.7353,monotone
ENG:affordability_x_delinq,engineered,numeric,-,32.8,34751,0.6508,suspicious,0.6577,0.014,0.6937,
observed_cash_balance_p10,bank_feed,numeric,True,32.8,34751,0.5504,suspicious,0.5271,0.012,0.6789,monotone
ENG:cash_runway_days,engineered,numeric,-,32.8,34751,0.5082,suspicious,0.5631,0.112,0.67,
ENG:score_x_util,engineered,numeric,-,0.0,51722,0.3741,strong,0.4273,0.011,0.6671,
requested_amount_to_observed_revenue,application_context,numeric,False,0.0,51722,0.3584,strong,0.3655,0.226,0.6675,monotone
ENG:draw_to_daily_rev,engineered,numeric,-,32.8,34751,0.2951,medium,0.2921,0.147,0.6351,
ENG:loan_to_observed_annual_rev,engineered,numeric,-,32.8,34751,0.2951,medium,0.2921,0.147,0.6351,
ENG:draw_to_cash_buffer,engineered,numeric,-,32.8,34751,0.285,medium,0.3182,0.001,0.6016,
requested_amount,self_reported,numeric,True,0.0,51722,0.2791,medium,0.2717,0.393,0.6491,monotone
prior_approved_amount,prior_underwriter,numeric,False,0.0,51722,0.2463,medium,0.2487,0.358,0.6402,monotone
ENG:req_to_stated_rev,engineered,numeric,-,0.0,51722,0.2186,medium,0.2094,0.268,0.6322,
payroll_regularity_score,bank_feed,numeric,True,32.8,34698,0.1997,medium,0.1903,0.004,0.6114,monotone
observed_revenue_volatility,bank_feed,numeric,True,32.8,34751,0.1846,medium,0.187,0.025,0.6082,monotone
owner_personal_credit_band,bureau_credit,ordinal,True,0.0,5,0.1822,medium,0.1953,0.008,,rank_corr=-1.00
ENG:stated_vs_observed_rev,engineered,numeric,-,32.8,34751,0.177,medium,0.162,0.005,0.6056,
ENG:util_x_inquiries,engineered,numeric,-,0.0,20658,0.16,medium,0.1239,0.003,0.5732,
existing_debt_obligations,bureau_credit,numeric,True,0.0,51722,0.1408,medium,0.1747,0.111,0.6066,monotone
observed_overdraft_count_3mo,bank_feed,numeric,True,32.8,7,0.11,medium,0.1145,0.004,0.5595,monotone
ENG:overdraft_per_month,engineered,numeric,-,32.8,7,0.11,medium,0.1145,0.004,0.5595,
ENG:debt_service_ratio,engineered,numeric,-,32.8,34751,0.1076,medium,0.1311,0.231,0.581,
ENG:score_sq,engineered,numeric,-,0.0,51722,0.0988,weak,0.059,0.014,0.5868,
prior_underwriter_score,prior_underwriter,numeric,False,0.0,51722,0.0988,weak,0.059,0.014,0.5868,monotone
bookkeeping_recency_days,platform_engagement,numeric,False,0.0,51722,0.0952,weak,0.143,0.006,0.586,monotone
days_since_last_inquiry_elsewhere,application_context,numeric,False,54.5,23558,0.0874,weak,0.0894,0.004,0.5416,monotone
ENG:debt_to_stated_rev,engineered,numeric,-,0.0,51722,0.0845,weak,0.1148,0.373,0.5833,
days_since_last_external_decline,bureau_credit,numeric,False,54.8,23388,0.0783,weak,0.0326,0.002,0.5347,monotone
observed_monthly_revenue_avg_3mo,bank_feed,numeric,True,32.8,34751,0.0718,weak,0.0899,0.294,0.5661,monotone
ENG:revenue_signal,engineered,numeric,-,32.8,34751,0.0708,weak,0.0154,0.724,0.5512,
ENG:util_x_band,engineered,numeric,-,0.0,44806,0.0689,weak,0.0697,0.002,0.5383,
platform_active_months,platform_engagement,numeric,False,0.0,27,0.0684,weak,0.1115,0.006,0.5748,monotone
vintage_years,business_identity,numeric,False,0.0,44979,0.0675,weak,0.0622,0.006,0.5699,monotone
employee_count_bucket,business_identity,ordinal,False,0.0,4,0.0553,weak,0.0429,0.0,,rank_corr=-1.00
stated_time_in_business,self_reported,numeric,True,0.0,51055,0.0533,weak,0.0372,0.005,0.559,monotone
observed_revenue_trend_3mo,bank_feed,numeric,True,32.8,34751,0.0508,weak,0.0643,1.589,0.5542,monotone
sector,business_identity,nominal,False,0.0,5,0.0483,weak,0.0429,0.001,,
account_age_days,platform_engagement,numeric,False,0.0,4020,0.0469,weak,0.0235,0.005,0.557,monotone
ENG:inquiry_intensity,engineered,numeric,-,0.0,8,0.0391,weak,0.0382,0.001,0.5548,
recent_inquiries_count_6mo,bureau_credit,numeric,True,0.0,6,0.0313,weak,0.0152,0.0,0.5448,monotone
stated_annual_revenue,self_reported,numeric,True,0.0,51722,0.0226,weak,0.0339,0.454,0.5424,monotone
